id,Class,Order,Family,Genus,Species,Common Name,Region,Decimal Latitude,Decimal Longitude,Are coordinates for specific location?,system,biome,realm,Native,Alien,Invasive,Units,Sampling method,Data transformed,year,pop,DP01,DP10,DP1X,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSN,EMXP,EMXT,PRCP,SNOW,TMAX,TMIN,Station_ID,stdscale,mmscale,yeardiff,stddiff,mmdiff,lastpop
910,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander,North America,33.27806,-81.72944,True,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,1988,310.0,74.0,68.0,15.0,0.0,0.0,82.0,1.0,254.0,93.0,-10.0,0.0,71.1,38.9,1109.9,0.0,25.1,8.8,GHCND:USC00380074,-0.3563258719288552,0.2320359281437126,1.0,-0.24207616748581462,-0.06736526946107785,0.29940119760479045
910,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander,North America,33.27806,-81.72944,True,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,1989,450.0,98.0,82.0,18.0,0.0,0.0,58.0,1.0,245.0,87.0,-10.6,0.0,57.2,37.8,1328.2,0.0,24.9,10.6,GHCND:USC00380074,0.02023705527130089,0.33682634730538924,1.0,0.37656292720015605,0.10479041916167664,0.2320359281437126
910,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander,North America,33.27806,-81.72944,True,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,1990,600.0,76.0,68.0,14.0,0.0,0.0,38.0,0.0,281.0,113.0,-6.7,0.0,101.6,41.7,1166.2,0.0,26.9,11.1,GHCND:USC00380074,0.4236973344143252,0.44910179640718567,1.0,0.40346027914302435,0.11227544910179643,0.33682634730538924
910,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander,North America,33.27806,-81.72944,True,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,1991,380.0,93.0,81.0,19.0,0.0,0.0,52.0,0.0,256.0,84.0,-10.0,0.0,85.1,38.9,1416.4,0.0,25.6,11.1,GHCND:USC00380074,-0.16804440832877712,0.2844311377245509,1.0,-0.5917417427431023,-0.16467065868263475,0.44910179640718567
910,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander,North America,33.27806,-81.72944,True,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,1992,20.0,115.0,99.0,15.0,1.0,0.0,62.0,0.0,230.0,75.0,-6.7,102.0,91.4,39.4,1619.7,102.0,24.6,10.3,GHCND:USC00380074,-1.1363490782720356,0.014970059880239521,1.0,-0.9683046699432585,-0.2694610778443114,0.2844311377245509
910,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander,North America,33.27806,-81.72944,True,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,1993,320.0,86.0,74.0,15.0,0.0,0.0,56.0,0.0,239.0,110.0,-10.0,0.0,91.9,40.0,1436.2,0.0,25.3,10.2,GHCND:USC00380074,-0.3294285199859869,0.23952095808383234,1.0,0.8069205582860487,0.2245508982035928,0.014970059880239521
910,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander,North America,33.27806,-81.72944,True,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,1994,400.0,117.0,91.0,16.0,0.0,0.0,44.0,0.0,258.0,77.0,-11.7,0.0,97.8,37.8,1484.7,0.0,25.1,10.8,GHCND:USC00380074,-0.11424970444304056,0.29940119760479045,1.0,0.21517881554294632,0.05988023952095811,0.23952095808383234
910,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander,North America,33.27806,-81.72944,True,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,1995,350.0,112.0,82.0,26.0,0.0,0.0,64.0,0.0,257.0,82.0,-12.8,0.0,104.1,38.3,1707.5,0.0,25.2,10.5,GHCND:USC00380074,-0.248736464157382,0.26197604790419166,1.0,-0.13448675971434143,-0.03742514970059879,0.29940119760479045
910,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander,North America,33.27806,-81.72944,True,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,1996,815.0,102.0,78.0,17.0,0.0,0.0,68.0,1.0,249.0,89.0,-12.2,0.0,78.7,38.9,1287.8,0.0,24.9,10.2,GHCND:USC00380074,1.0019904011859935,0.6100299401197605,1.0,1.2507268653433754,0.34805389221556887,0.26197604790419166
910,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander,North America,33.27806,-81.72944,True,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,1999,602.0,82.0,69.0,12.0,0.0,0.0,57.0,0.0,273.0,85.0,-11.7,0.0,86.4,40.6,1116.3,0.0,25.9,10.5,GHCND:USC00380074,0.4290768048028989,0.4505988023952096,1.0,-1.2910728932576778,-0.3592814371257485,0.8098802395209581
910,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander,North America,33.27806,-81.72944,True,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,2000,531.0,93.0,61.0,13.0,0.0,0.0,60.0,0.0,263.0,100.0,-11.1,0.0,91.4,40.0,1028.6,0.0,25.4,10.5,GHCND:USC00380074,0.23810560600853403,0.3974550898203593,1.0,-0.19097119879436486,-0.05314371257485029,0.4505988023952096
910,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander,North America,33.27806,-81.72944,True,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,2001,1336.0,82.0,64.0,12.0,0.0,0.0,52.0,0.0,272.0,93.0,-12.2,0.0,55.9,37.2,895.7,0.0,25.8,10.3,GHCND:USC00380074,2.403342437409431,1.0,1.0,2.165236831400897,0.6025449101796407,0.3974550898203593
910,Amphibia,Caudata,Ambystomatidae,Ambystoma,opacum,Marbled salamander,North America,33.27806,-81.72944,True,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,2002,1096.0,90.0,76.0,16.0,2.0,0.0,63.0,0.0,247.0,109.0,-11.7,102.0,63.5,39.4,1106.9,153.0,25.7,10.9,GHCND:USC00380074,1.7578059907805923,0.8203592814371258,1.0,-0.6455364466288389,-0.17964071856287422,1.0
915,Amphibia,Caudata,Ambystomatidae,Ambystoma,talpoideum,Mole salamander,North America,33.27806,-81.72944,True,Freshwater,Temperate coastal rivers,Nearctic,Yes,No,No,Number of breeding females,Counts using marks,No,1988,100.0,74.0,68.0,15.0,0.0,0.0,82.0,1.0,254.0,93.0,-10.0,0.0,71.1,38.9,1109.9,0.0,25.1,8.8,GHCND:USC00380074,-0.7619813327248997,0.0099009900990099,1.0,-1.1913714648467488,-0.31683168316831684,0.32673267326732675
